date,round,home_team,home_score,away_team,away_score,home_result
8/19/18,Round 1,Vancouver Whitecaps,2,New York Red Bulls,2,0
8/19/18,Round 1,Montreal Impact,2,Chicago Fire,1,1
8/19/18,Round 1,FC Dallas,2,Minnesota United,0,2
8/19/18,Round 1,Sporting Kansas City,3,Portland Timbers,0,3
8/19/18,Round 1,Houston Dynamo,1,Real Salt Lake,2,-1
8/19/18,Round 1,San Jose Earthquakes,1,Toronto FC,1,0
8/19/18,Round 1,Atlanta United,3,Columbus Crew,1,2
8/20/18,Round 1,Los Angeles FC,2,Colorado Rapids,0,2
8/20/18,Round 1,DC United,2,New England Rev.,0,2
8/23/18,Round 1,New York City FC,1,New York Red Bulls,1,0
8/24/18,Round 1,Houston Dynamo,1,FC Dallas,1,0
8/24/18,Round 1,Chicago Fire,1,Columbus Crew,1,0
8/25/18,Round 1,Orlando City,1,Atlanta United,2,-1
8/25/18,Round 1,L.A. Galaxy,1,Los Angeles FC,1,0
8/26/18,Round 1,Philadelphia Union,1,New England Rev.,0,1
8/26/18,Round 1,Toronto FC,3,Montreal Impact,1,2
8/26/18,Round 1,Sporting Kansas City,2,Minnesota United,0,2
8/26/18,Round 1,Colorado Rapids,0,Real Salt Lake,6,-6
8/26/18,Round 1,San Jose Earthquakes,2,Vancouver Whitecaps,3,-1
8/27/18,Round 1,New York Red Bulls,1,DC United,0,1
8/27/18,Round 1,Portland Timbers,0,Seattle Sounders FC,1,-1
8/30/18,Round 1,DC United,0,Philadelphia Union,2,-2
8/30/18,Round 1,Portland Timbers,2,Toronto FC,0,2
8/30/18,Round 1,San Jose Earthquakes,4,FC Dallas,3,1
8/30/18,Round 1,New York Red Bulls,1,Houston Dynamo,0,1
9/1/18,Round 1,Seattle Sounders FC,3,Sporting Kansas City,1,2
9/2/18,Round 1,Montreal Impact,3,New York Red Bulls,0,3
9/2/18,Round 1,New England Rev.,1,Portland Timbers,1,0
9/2/18,Round 1,Orlando City,2,Philadelphia Union,2,0
9/2/18,Round 1,FC Dallas,4,Houston Dynamo,2,2
9/2/18,Round 1,Columbus Crew,2,New York City FC,1,1
9/2/18,Round 1,Toronto FC,2,Los Angeles FC,4,-2
9/2/18,Round 1,Real Salt Lake,6,L.A. Galaxy,2,4
9/2/18,Round 1,Vancouver Whitecaps,2,San Jose Earthquakes,1,1
9/3/18,Round 1,DC United,3,Atlanta United,1,2
9/6/18,Round 1,New York City FC,0,New England Rev.,1,-1
9/8/18,Round 1,New York City FC,1,DC United,1,0
9/9/18,Round 1,Sporting Kansas City,1,Orlando City,0,1
9/9/18,Round 1,Portland Timbers,2,Colorado Rapids,0,2
9/13/18,Round 1,DC United,2,Minnesota United,1,1
9/15/18,Round 1,Colorado Rapids,0,Atlanta United,3,-3
9/16/18,Round 1,Philadelphia Union,0,Montreal Impact,0,0
9/16/18,Round 1,Toronto FC,0,L.A. Galaxy,0,0
9/16/18,Round 1,FC Dallas,0,Columbus Crew,0,0
9/16/18,Round 1,Houston Dynamo,0,Portland Timbers,0,0
9/16/18,Round 1,DC United,3,New York Red Bulls,3,0
9/16/18,Round 1,Chicago Fire,4,Orlando City,0,4
9/20/18,Round 1,San Jose Earthquakes,2,Atlanta United,1,1
9/20/18,Round 1,Seattle Sounders FC,0,Philadelphia Union,0,0
9/20/18,Round 1,Portland Timbers,3,Columbus Crew,1,2
9/22/18,Round 1,Los Angeles FC,2,San Jose Earthquakes,0,2
9/22/18,Round 1,New York Red Bulls,2,Toronto FC,0,2
9/23/18,Round 1,Atlanta United,2,Real Salt Lake,0,2
9/23/18,Round 1,Montreal Impact,1,New York City FC,1,0
9/23/18,Round 1,New England Rev.,2,Chicago Fire,2,0
9/23/18,Round 1,Orlando City,0,Houston Dynamo,0,0
9/23/18,Round 1,Columbus Crew,2,Colorado Rapids,1,1
9/23/18,Round 1,Minnesota United,3,Portland Timbers,2,1
9/23/18,Round 1,Philadelphia Union,2,Sporting Kansas City,0,2
9/24/18,Round 1,L.A. Galaxy,3,Seattle Sounders FC,0,3
9/24/18,Round 1,Vancouver Whitecaps,1,FC Dallas,2,-1
9/27/18,Round 1,New York City FC,2,Chicago Fire,0,2
9/29/18,Round 1,Chicago Fire,3,Los Angeles FC,1,2
9/29/18,Round 1,Seattle Sounders FC,4,Colorado Rapids,0,4
9/30/18,Round 1,DC United,5,Montreal Impact,0,5
9/30/18,Round 1,Toronto FC,4,New England Rev.,1,3
9/30/18,Round 1,Minnesota United,2,New York City FC,1,1
9/30/18,Round 1,Houston Dynamo,3,San Jose Earthquakes,2,1
9/30/18,Round 1,L.A. Galaxy,3,Vancouver Whitecaps,0,3
9/30/18,Round 1,Portland Timbers,0,FC Dallas,0,0
9/30/18,Round 1,New York Red Bulls,2,Atlanta United,0,2
9/30/18,Round 1,Sporting Kansas City,1,Real Salt Lake,1,0
9/30/18,Round 1,Columbus Crew,0,Philadelphia Union,0,0
10/6/18,Round 1,Montreal Impact,3,Columbus Crew,0,3
10/6/18,Round 1,Atlanta United,2,New England Rev.,1,1
10/6/18,Round 1,Toronto FC,1,Vancouver Whitecaps,2,-1
10/7/18,Round 1,Philadelphia Union,5,Minnesota United,1,4
10/7/18,Round 1,FC Dallas,2,Orlando City,0,2
10/7/18,Round 1,Sporting Kansas City,1,L.A. Galaxy,1,0
10/7/18,Round 1,Colorado Rapids,0,Los Angeles FC,3,-3
10/7/18,Round 1,Real Salt Lake,1,Portland Timbers,4,-3
10/7/18,Round 1,San Jose Earthquakes,1,New York Red Bulls,3,-2
10/7/18,Round 1,DC United,2,Chicago Fire,1,1
10/9/18,Round 1,Seattle Sounders FC,4,Houston Dynamo,1,3
10/13/18,Round 1,Minnesota United,0,Colorado Rapids,2,-2
10/13/18,Round 1,DC United,1,FC Dallas,0,1
10/13/18,Round 1,Los Angeles FC,4,Houston Dynamo,2,2
10/14/18,Round 1,New England Rev.,2,Orlando City,0,2
10/18/18,Round 1,DC United,1,Toronto FC,0,1
10/18/18,Round 1,Orlando City,1,Seattle Sounders FC,2,-1
10/18/18,Round 1,Vancouver Whitecaps,1,Sporting Kansas City,4,-3
10/19/18,Round 1,Real Salt Lake,4,New England Rev.,1,3
10/21/18,Round 1,Orlando City,2,Columbus Crew,1,1
10/21/18,Round 1,Portland Timbers,3,Real Salt Lake,0,3
10/21/18,Round 1,Houston Dynamo,2,Seattle Sounders FC,3,-1
10/21/18,Round 1,Los Angeles FC,2,Vancouver Whitecaps,2,0
10/21/18,Round 1,Minnesota United,1,L.A. Galaxy,3,-2
10/21/18,Round 1,San Jose Earthquakes,0,Colorado Rapids,0,0
10/21/18,Round 1,DC United,3,New York City FC,1,2
10/21/18,Round 1,FC Dallas,0,Sporting Kansas City,3,-3
10/21/18,Round 1,Montreal Impact,2,Toronto FC,0,2
10/21/18,Round 1,Atlanta United,2,Chicago Fire,1,1
10/21/18,Round 1,Philadelphia Union,0,New York Red Bulls,1,-1
10/28/18,Round 1,New England Rev.,1,Montreal Impact,0,1
10/28/18,Round 1,Vancouver Whitecaps,2,Portland Timbers,1,1
10/28/18,Round 1,Chicago Fire,0,DC United,0,0
10/28/18,Round 1,Columbus Crew,3,Minnesota United,2,1
10/28/18,Round 1,L.A. Galaxy,2,Houston Dynamo,3,-1
10/28/18,Round 1,Toronto FC,4,Atlanta United,1,3
10/28/18,Round 1,Sporting Kansas City,2,Los Angeles FC,1,1
10/28/18,Round 1,New York City FC,3,Philadelphia Union,1,2
10/28/18,Round 1,Colorado Rapids,2,FC Dallas,1,1
10/28/18,Round 1,New York Red Bulls,1,Orlando City,0,1
10/28/18,Round 1,Seattle Sounders FC,2,San Jose Earthquakes,1,1
